,type,industry,organisation_name,lobbying_costs,EP_passes
4,AISBL,Trade and business associations,European Chemical Industry Council,12300000.0,29
7,ASBL,"Non-governmental organisations, platforms and networks and similar",JA Europe,8124999.5,4
8,Private Limited Company by guarantee without share capital use of 'Limited' exemption,"Non-governmental organisations, platforms and networks and similar",Human Rights Project Management (former Otkrytaya Rossia),7963657.0,1
10,SA,Professional consultancies,FTI Consulting Belgium,6874999.5,34
11,SA,Professional consultancies,Fleishman-Hillard,6874999.5,56
13,AISBL,Trade and business associations,Insurance Europe,6624500.0,25
14,SPRL,Professional consultancies,Burson-Marsteller,6374999.5,50
15,foundation,Think tanks and research institutions,European Centre for Development Policy Management,6374999.5,1
18,Non-profit association,Trade and business associations,European Federation of Pharmaceutical Industries and Associations,5503206.0,5
19,Inc.,0,Google,5374999.5,5
22,SA (Belgium),Professional consultancies,Interel European Affairs,4874999.5,25
24,ASBL,"Non-governmental organisations, platforms and networks and similar",EUROCITIES,4624500.0,18
25,"Publicly Traded Corporation, incorporated in the State of Washington, United States of America",0,Microsoft Corporation,4624500.0,4
26,"Royal Dutch Shell plc directly or indirectly holds shares in Shell Companies. Royal Dutch Shell plc is a public Limited Company with its registered offices in the United Kingdom and headquartered in The Hague, the Netherlands.",0,Shell Companies,4624500.0,6
27,Company limited by guarantee incorporated in England and Wales,Trade and business associations,Association for Financial Markets in Europe,4374999.5,6
28,sprl,Professional consultancies,Teneo cabinet DN,4374999.5,27
29,eingetragener Verein nach deutschem Recht,Trade and business associations,Verband Deutscher Maschinen- und Anlagenbau e.V.,4374999.5,4
30,eingetragener Verein nach deutschem Vereinsrecht,Trade and business associations,Verband der Chemischen Industrie e.V.,4374999.5,9
31,aisbl (association internationale sans but lucratif),Trade and business associations,BUSINESSEUROPE,4124999.5,24
32,aisbl (Belgium),Trade and business associations,European Banking Federation,4124999.5,18
35,b.v.b.a.,0,ExxonMobil Petroleum & Chemical,3874999.5,7
37,Asbl,Think tanks and research institutions,Friends of Europe,3624500.0,1
39,Belgian registered branch,Professional consultancies,Kreab,3624500.0,32
40,AISBL,"Non-governmental organisations, platforms and networks and similar",European Environmental Bureau,3374999.5,11
41,SE,0,BASF SE,3300000.0,9
42,GmbH,0,Dow Europe GmbH,3124999.5,2
43,Public Company,0,Equinor ASA,3124999.5,5
44,association,Trade and business associations,European Fund and Asset Management Association,3124999.5,11
46,Aktiengesellschaft,0,Siemens AG,3230419.0,16
47,eingetragener Verein,Trade and business associations,BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.,2874999.5,6
48,Public Limited Company,0,BP p.l.c.,2874999.5,4
49,eingetragener Verein,Trade and business associations,Bundesverband der Deutschen Industrie e.V.,2874999.5,11
50,eingetragener Verein,Trade and business associations,Bundesverband Öffentlicher Banken Deutschlands,2874999.5,5
52,AISBL,"Non-governmental organisations, platforms and networks and similar",European Youth Forum,2874999.5,13
54,Corporation,0,General Electric Company,2874999.5,2
58,Co. Ltd.,0,Huawei Technologies,2800000.0,5
59,Inc.,Professional consultancies,APCO Worldwide,2624500.0,30
60,"eingetragener Verein, e.V.",Trade and business associations,Bundesverband deutscher Banken e.V.,2624500.0,2
62,GmbH,Professional consultancies,EUTOP Europe GmbH,2624500.0,21
63,UK Limited Company,Professional consultancies,G Plus Ltd,2624500.0,22
64,eingetragener Verein,Trade and business associations,Gesamtverband der Deutschen Versicherungswirtschaft e.V.,2624500.0,8
65,SA,Professional consultancies,Grayling,2624500.0,14
67,Aktiengesellschaft,0,Deutsche Bank AG,2744000.0,3
68,Aktiengesellschaft,0,Volkswagen Aktiengesellschaft,2660000.0,4
69,Eingetragener Verein,Trade and business associations,Deutscher Industrie- und Handelskammertag e.V.,2568000.0,16
70,Eingetragener Verein,Trade and business associations,Verband der Automobilindustrie,2500000.0,3
71,registered association,Trade and business associations,BVI Bundesverband Investment und Asset Management e.V.,2374999.5,3
72,PLC,0,British American Tobacco,2374999.5,7
73,LLP,Professional consultancies,Brunswick Group LLP,2374999.5,18
74,a.i.s.b.l. (not for profit - internat. association),"Non-governmental organisations, platforms and networks and similar",Bureau Européen des Unions de Consommateurs,2374999.5,30
